Entity,Time,key,BestEfficiencyFlowRate_operatingRange,BestEfficiencyInsituFlowRate_operatingRange,DifferentialPressure_pumpCurve,ESPCurrent_IPR_VLP,ESPPower_IPR_VLP,Efficiency_pumpCurve,FlowRate_pumpCurve,GasRate_IPR_VLP,Head_pumpCurve,HorsePower_pumpCurve,InflowPressure_IPR_VLP,InsituFlowRate_pumpCurve,InsituVaporLiquidRatio_lowerGasiness,InsituVaporLiquidRatio_pumpIntakeGassiness,InsituVaporLiquidRatio_upperGasiness,MaximumFlowRate_operatingRange,MaximumInsituFlowRate_operatingRange,MinimumFlowRate_operatingRange,MinimumInsituFlowRate_operatingRange,OilRate_IPR_VLP,OutflowPressure_IPR_VLP,PumpIntakePressure_lowerGasiness,PumpIntakePressure_pumpIntakeGassiness,PumpIntakePressure_upperGasiness,Rate_IPR_VLP,DifferentialPressure_WellCurve,FlowRate_WellCurve,Head_WellCurve,InsituFlowRate_WellCurve
"ESP_CGCS_WL23_C",,58,,,,,,,,,,,,,0.955,,,,,,,,,883.96,,,,,,,
"ESP_CGCS_WL23_C",,59,,,,,,,,,,,,,0.9775,,,,,,,,,897,,,,,,,
"ESP_CGCS_WL23_C",,60,,,,,,,,,,,,,1,,,,,,,,,909.94,,,,,,,
"ESP_WFKS_WL14_C",,39,,,,,,,,,,,,,0.5275,,,,,,,,,608.5,,,,,,,
"ESP_WFKS_WL14_C",,40,,,,,,,,,,,,,0.55,,,,,,,,,624.7,,,,,,,
"ESP_WFKS_WL14_C",,41,,,,,,,,,,,,,0.5725,,,,,,,,,640.66,,,,,,,
"ESP_WFKS_WL14_C",,42,,,,,,,,,,,,,0.595,,,,,,,,,656.39,,,,,,,
"ESP_WFKS_WL14_C",,43,,,,,,,,,,,,,0.6175,,,,,,,,,671.89,,,,,,,
"ESP_WFKS_WL14_C",,44,,,,,,,,,,,,,0.64,,,,,,,,,687.19,,,,,,,
"ESP_WFKS_WL14_C",,45,,,,,,,,,,,,,0.6625,,,,,,,,,702.29,,,,,,,
"ESP_WFKS_WL14_C",,46,,,,,,,,,,,,,0.685,,,,,,,,,717.21,,,,,,,
"ESP_WFKS_WL14_C",,47,,,,,,,,,,,,,0.7075,,,,,,,,,731.94,,,,,,,
"ESP_WFKS_WL14_C",,48,,,,,,,,,,,,,0.73,,,,,,,,,746.5,,,,,,,
